,1x,1y,5x,5y,12x,12y,13x,13y,14x,14y
116,488.0,174.30769230769232,504.0,166.3846153846154,656.0,324.84615384615387,528.0,427.84615384615387,568.0,594.2307692307693
117,464.0,206.0,480.0,206.0,648.0,340.6923076923077,528.0,419.9230769230769,568.0,610.0769230769231
118,464.0,206.0,480.0,198.07692307692307,664.0,356.53846153846155,528.0,419.9230769230769,568.0,610.0769230769231
119,464.0,198.07692307692307,488.0,190.15384615384616,648.0,348.61538461538464,528.0,419.9230769230769,568.0,610.0769230769231
120,488.0,158.46153846153845,480.0,166.3846153846154,648.0,324.84615384615387,536.0,435.7692307692308,584.0,649.6923076923077
121,488.0,158.46153846153845,488.0,166.3846153846154,640.0,324.84615384615387,528.0,435.7692307692308,504.0,530.8461538461538
122,488.0,158.46153846153845,488.0,166.3846153846154,640.0,332.7692307692308,520.0,427.84615384615387,584.0,649.6923076923077
123,496.0,206.0,504.0,206.0,640.0,388.2307692307692,536.0,435.7692307692308,592.0,657.6153846153846
124,488.0,198.07692307692307,480.0,206.0,632.0,364.46153846153845,552.0,427.84615384615387,592.0,649.6923076923077
125,448.0,229.76923076923077,448.0,229.76923076923077,632.0,388.2307692307692,488.0,435.7692307692308,560.0,594.2307692307693
126,448.0,221.84615384615384,440.0,237.69230769230768,632.0,388.2307692307692,488.0,435.7692307692308,568.0,610.0769230769231
127,448.0,324.84615384615387,456.0,324.84615384615387,688.0,372.38461538461536,520.0,419.9230769230769,576.0,586.3076923076923
128,448.0,332.7692307692308,456.0,340.6923076923077,688.0,372.38461538461536,536.0,451.61538461538464,576.0,586.3076923076923
129,448.0,364.46153846153845,464.0,364.46153846153845,688.0,356.53846153846155,536.0,451.61538461538464,576.0,586.3076923076923
130,440.0,364.46153846153845,464.0,372.38461538461536,688.0,364.46153846153845,536.0,459.53846153846155,576.0,586.3076923076923
131,448.0,261.46153846153845,440.0,285.2307692307692,640.0,380.3076923076923,496.0,443.6923076923077,584.0,594.2307692307693
132,448.0,261.46153846153845,440.0,277.3076923076923,640.0,372.38461538461536,496.0,443.6923076923077,584.0,594.2307692307693
133,504.0,206.0,520.0,198.07692307692307,640.0,380.3076923076923,512.0,419.9230769230769,560.0,594.2307692307693
134,504.0,324.84615384615387,488.0,332.7692307692308,640.0,515.0,496.0,427.84615384615387,560.0,586.3076923076923
135,504.0,324.84615384615387,488.0,332.7692307692308,640.0,515.0,496.0,427.84615384615387,568.0,586.3076923076923
136,504.0,324.84615384615387,488.0,332.7692307692308,640.0,507.0769230769231,496.0,427.84615384615387,568.0,586.3076923076923
137,480.0,293.15384615384613,472.0,301.0769230769231,648.0,412.0,504.0,427.84615384615387,576.0,578.3846153846154
138,496.0,245.6153846153846,488.0,253.53846153846155,648.0,388.2307692307692,512.0,427.84615384615387,576.0,578.3846153846154
139,496.0,142.6153846153846,504.0,134.69230769230768,640.0,309.0,520.0,419.9230769230769,568.0,594.2307692307693
140,496.0,245.6153846153846,488.0,245.6153846153846,648.0,380.3076923076923,512.0,427.84615384615387,576.0,578.3846153846154
141,496.0,142.6153846153846,496.0,142.6153846153846,648.0,309.0,520.0,419.9230769230769,568.0,594.2307692307693
142,496.0,142.6153846153846,504.0,142.6153846153846,632.0,324.84615384615387,512.0,419.9230769230769,568.0,594.2307692307693
143,496.0,150.53846153846155,496.0,150.53846153846155,648.0,316.9230769230769,512.0,419.9230769230769,568.0,594.2307692307693
144,464.0,213.92307692307693,480.0,206.0,680.0,332.7692307692308,544.0,419.9230769230769,568.0,610.0769230769231
145,472.0,182.23076923076923,488.0,174.30769230769232,672.0,332.7692307692308,536.0,419.9230769230769,568.0,610.0769230769231
